yardline_100,ydstogo,decision,prob
15,7,field_goal,0.9615384615384616
15,7,go_for_it,0.038461538461538464
15,8,field_goal,0.9642857142857143
15,8,go_for_it,0.03571428571428571
15,9,field_goal,0.9473684210526315
15,9,go_for_it,0.05263157894736842
15,10,field_goal,0.8809523809523809
15,10,go_for_it,0.11904761904761904
15,11,field_goal,0.85
15,11,go_for_it,0.15
15,12,field_goal,0.8666666666666667
15,12,go_for_it,0.13333333333333333
15,13,field_goal,1
15,14,field_goal,0.875
15,14,go_for_it,0.125
15,15,field_goal,0.8775510204081632
15,15,go_for_it,0.12244897959183673
16,1,field_goal,0.175
16,1,go_for_it,0.825
16,2,field_goal,0.6153846153846154
16,2,go_for_it,0.38461538461538464
16,3,field_goal,0.875
16,3,go_for_it,0.125
16,4,field_goal,0.7083333333333334
16,4,go_for_it,0.2916666666666667
16,5,field_goal,0.8918918918918919
16,5,go_for_it,0.10810810810810811
16,6,field_goal,0.9387755102040817
16,6,go_for_it,0.061224489795918366
16,7,field_goal,0.8333333333333334
16,7,go_for_it,0.16666666666666666
16,8,field_goal,0.8260869565217391
16,8,go_for_it,0.17391304347826086
16,9,field_goal,0.8666666666666667
16,9,go_for_it,0.13333333333333333
16,10,field_goal,0.9310344827586207
16,10,go_for_it,0.06896551724137931
16,11,field_goal,1
16,12,field_goal,0.8
16,12,go_for_it,0.2
16,13,field_goal,0.8333333333333334
16,13,go_for_it,0.16666666666666666
16,14,field_goal,0.9090909090909091
16,14,go_for_it,0.09090909090909091
16,15,field_goal,0.8461538461538461
16,15,go_for_it,0.15384615384615385
16,16,field_goal,0.9111111111111111
16,16,go_for_it,0.08888888888888889
17,1,field_goal,0.3541666666666667
17,1,go_for_it,0.6458333333333334
17,2,field_goal,0.7586206896551724
17,2,go_for_it,0.2413793103448276
17,3,field_goal,0.7222222222222222
17,3,go_for_it,0.2777777777777778
17,4,field_goal,0.8275862068965517
17,4,go_for_it,0.1724137931034483
17,5,field_goal,0.7419354838709677
17,5,go_for_it,0.25806451612903225
17,6,field_goal,0.95
17,6,go_for_it,0.05
17,7,field_goal,0.9444444444444444
17,7,go_for_it,0.05555555555555555
17,8,field_goal,0.9
17,8,go_for_it,0.1
17,9,field_goal,0.9310344827586207
17,9,go_for_it,0.06896551724137931
17,10,field_goal,0.8064516129032258
17,10,go_for_it,0.1935483870967742
17,11,field_goal,1
17,12,field_goal,0.875
17,12,go_for_it,0.125
17,13,field_goal,0.9230769230769231
17,13,go_for_it,0.07692307692307693
17,14,field_goal,1
17,15,field_goal,0.9090909090909091
17,15,go_for_it,0.09090909090909091
17,16,field_goal,1
17,17,field_goal,0.8
17,17,go_for_it,0.2
18,1,field_goal,0.3333333333333333
18,1,go_for_it,0.6666666666666666
18,2,field_goal,0.5789473684210527
18,2,go_for_it,0.42105263157894735
18,3,field_goal,0.8378378378378378
18,3,go_for_it,0.16216216216216217
18,4,field_goal,0.7777777777777778
18,4,go_for_it,0.2222222222222222
18,5,field_goal,0.7419354838709677
18,5,go_for_it,0.25806451612903225
18,6,field_goal,0.9259259259259259
18,6,go_for_it,0.07407407407407407
18,7,field_goal,0.8947368421052632
18,7,go_for_it,0.10526315789473684
18,8,field_goal,1
18,9,field_goal,0.8823529411764706
18,9,go_for_it,0.11764705882352941
18,10,field_goal,0.9090909090909091
18,10,go_for_it,0.09090909090909091
18,11,field_goal,0.8888888888888888
18,11,go_for_it,0.1111111111111111
18,12,field_goal,0.8571428571428571
18,12,go_for_it,0.14285714285714285
18,13,field_goal,0.9285714285714286
18,13,go_for_it,0.07142857142857142
18,14,field_goal,0.8461538461538461
18,14,go_for_it,0.15384615384615385
18,15,field_goal,1
18,16,field_goal,0.8
18,16,go_for_it,0.2
18,17,field_goal,1
18,18,field_goal,0.8695652173913043
18,18,go_for_it,0.13043478260869565
19,1,field_goal,0.2553191489361702
19,1,go_for_it,0.7446808510638298
19,2,field_goal,0.7142857142857143
19,2,go_for_it,0.2857142857142857
19,3,field_goal,0.8571428571428571
19,3,go_for_it,0.14285714285714285
19,4,field_goal,0.8333333333333334
19,4,go_for_it,0.16666666666666666
19,5,field_goal,0.9512195121951219
19,5,go_for_it,0.04878048780487805
19,6,field_goal,0.8181818181818182
19,6,go_for_it,0.18181818181818182
19,7,field_goal,0.7692307692307693
19,7,go_for_it,0.23076923076923078
19,8,field_goal,0.9375
19,8,go_for_it,0.0625
19,9,field_goal,1
19,10,field_goal,0.8214285714285714
19,10,go_for_it,0.17857142857142858
19,11,field_goal,1
19,12,field_goal,0.9230769230769231
19,12,go_for_it,0.07692307692307693
